ID,CONTINENT,min_lon,min_lat
412364,2,-56.89111542704502,48.50794736411322
412397,2,-56.88060513822083,47.70215855425801
412423,2,-56.86362697935097,48.512259277477
412530,2,-56.803260192258136,48.252735991894866
412578,2,-56.77873618500168,48.10613093752656
412622,2,-56.75367318857474,49.068765595989035
412689,2,-56.724028784198794,47.70943490805938
412703,2,-56.715674452056476,47.719675702298346
412733,2,-56.70489466864704,48.068940684764016
412754,2,-56.697348820260444,47.820197182591315
412762,2,-56.69276741231144,48.40877335674642
412778,2,-56.693306401481905,49.61206667982452
412803,2,-56.66797391046974,48.09427317577618
412895,2,-56.619195390542046,49.07334700393805
412898,2,-56.617578423030636,49.59993942348891
412913,2,-56.60949358547356,49.12913238308187
412915,2,-56.60518167210978,48.465636714231195
412952,2,-56.58443058904662,49.57110350286868
